competition,sport,athlete_name,country,score,relative_score,strength,gold_prob,silver_prob,bronze_prob,medal_prob
Men's 1000m,Speed Skating,Joep Wennemars,NED,158.0,0,0.0999,0.0249,0.0289,0.0321,0.0859
Men's 1000m,Short Track Speed Skating,Luca Spechenhauser,ITA,300.0,0,0.1406,0.023,0.0251,0.0292,0.0773
Men's 1000m,Speed Skating,Tatsuya Shinhama,JPN,130.0,0,0.0676,0.0198,0.0213,0.0234,0.0645
Men's 1000m,Speed Skating,Moritz Klein,GER,124.0,0,0.0615,0.0175,0.0181,0.0216,0.0572
Men's 1000m,Speed Skating,Taiyo Nonomura,JPN,130.0,0,0.0676,0.017,0.0203,0.0256,0.0629
Men's 1000m,Speed Skating,Min-Seok Kim,HUN,116.0,0,0.0538,0.0164,0.0148,0.0198,0.051
Men's 1000m,Short Track Speed Skating,Oleh Handei,UKR,250.0,0,0.0977,0.015,0.0198,0.0213,0.0561
Men's 1000m,Speed Skating,Stefan Emele,GER,99.0,0,0.0392,0.0092,0.0116,0.0142,0.035
Men's 1000m,Speed Skating,Connor Howe,CAN,85.0,0,0.0289,0.0084,0.0084,0.0112,0.028
Men's 1000m,Speed Skating,Zach Stoppelmoor,USA,87.0,0,0.0303,0.0074,0.0093,0.0111,0.0278
Men's 1000m,Speed Skating,Mathias Vosté,BEL,68.0,0,0.0185,0.0038,0.0054,0.0063,0.0155
Men's 1000m,Speed Skating,Marek Kania,POL,58.0,0,0.0135,0.0036,0.004,0.0047,0.0123
Men's 1000m,Speed Skating,Hendrik Dombek,GER,58.0,0,0.0135,0.0035,0.0023,0.005,0.0108
Men's 1000m,Speed Skating,Ziwen Lian,CHN,40.0,0,0.0064,0.0015,0.0016,0.0024,0.0055
Men's 1000m,Speed Skating,David Bosa,ITA,37.0,0,0.0055,0.0014,0.0019,0.0012,0.0045
Men's 1000m,Speed Skating,Masaya Yamada,JPN,32.0,0,0.0041,0.001,0.0012,0.0012,0.0034
Men's 1000m,Speed Skating,Peder Kongshaug,NOR,29.0,0,0.0034,0.0008,0.0013,0.0012,0.0033
Men's 1000m,Speed Skating,Piotr Michalski,POL,20.0,0,0.0016,0.0008,0.0002,0.0006,0.0016
Men's 1000m,Speed Skating,Finn Sonnekalb,GER,15.0,0,0.0009,0.0004,0.0003,0.0003,0.001
Men's 1000m,Speed Skating,Tijmen Snel,NED,16.0,0,0.001,0.0002,0.0003,0.0005,0.001
Men's 1000m,Speed Skating,Sanghyeok Cho,KOR,14.0,0,0.0008,0.0001,0.0,0.0001,0.0002
Men's 1000m,Speed Skating,Kazuya Yamada,JPN,12.0,0,0.0006,0.0,0.0003,0.0002,0.0005
Men's 10km Sprint,Biathlon,Tommaso Giacomel,ITA,767.0,0,1.0,0.1328,0.1195,0.1122,0.3645
Men's 10km Sprint,Biathlon,Eric Perrot,FRA,744.0,0,0.9409,0.121,0.1159,0.108,0.3449
Men's 10km Sprint,Biathlon,Sebastian Samuelsson,SWE,640.0,0,0.6963,0.0914,0.0877,0.0909,0.27
Men's 10km Sprint,Biathlon,Johan-Olav Botn,NOR,589.0,0,0.5897,0.08,0.078,0.0759,0.2339
Men's 10km Sprint,Biathlon,Johannes Dale-Skjevdal,NOR,501.0,0,0.4267,0.0581,0.0615,0.0565,0.1761
Men's 10km Sprint,Biathlon,Quentin Fillon Maillet,FRA,481.0,0,0.3933,0.0548,0.0492,0.056,0.16
Men's 10km Sprint,Biathlon,Martin Ponsiluoma,SWE,476.0,0,0.3851,0.0506,0.0501,0.0549,0.1556
Men's 10km Sprint,Biathlon,Emilien Jacquelin,FRA,445.0,0,0.3366,0.0445,0.0472,0.0423,0.134
Men's 10km Sprint,Biathlon,Vetle Sjastad Christiansen,NOR,429.0,0,0.3128,0.0407,0.0423,0.0442,0.1272
Men's 10km Sprint,Biathlon,Sturla Holm Laegreid,NOR,404.0,0,0.2774,0.0371,0.0388,0.0429,0.1188
Men's 10km Sprint,Biathlon,Philipp Nawrath,GER,385.0,0,0.252,0.0338,0.038,0.0342,0.106
Men's 10km Sprint,Biathlon,Martin Uldal,NOR,359.0,0,0.2191,0.0271,0.0341,0.0329,0.0941
Men's 10km Sprint,Biathlon,Campbell Wright,USA,339.0,0,0.1953,0.027,0.0305,0.0268,0.0843
Men's 10km Sprint,Biathlon,Isak Frey,NOR,306.0,0,0.1592,0.02,0.0202,0.0238,0.064
Men's 10km Sprint,Biathlon,Fabien Claude,FRA,284.0,0,0.1371,0.0191,0.0168,0.0209,0.0568
Men's 10km Sprint,Biathlon,Lukas Hofer,ITA,295.0,0,0.1479,0.0188,0.0195,0.0202,0.0585
Men's 10km Sprint,Biathlon,Tarjei Boe,NOR,260.0,0,0.1149,0.017,0.0154,0.0201,0.0525
Men's 10km Sprint,Biathlon,Philipp Horn,GER,274.0,0,0.1276,0.0162,0.0188,0.0193,0.0543
Men's 10km Sprint,Biathlon,Johannes Thingnes Boe,NOR,250.0,0,0.1062,0.0137,0.0157,0.0148,0.0442
Men's 10km Sprint,Biathlon,Justus Strelow,GER,230.0,0,0.0899,0.0128,0.0126,0.0145,0.0399
Men's 10km Sprint,Biathlon,Jakov Fak,SLO,240.0,0,0.0979,0.012,0.0133,0.0132,0.0385
Men's 10km Sprint,Biathlon,Simon Eder,AUT,220.0,0,0.0823,0.0119,0.0126,0.0126,0.0371
Men's 10km Sprint,Biathlon,Florent Claude,BEL,210.0,0,0.075,0.0117,0.0104,0.0126,0.0347
Men's 10km Sprint,Biathlon,Benedikt Doll,GER,200.0,0,0.068,0.01,0.0092,0.01,0.0292
Men's 10km Sprint,Biathlon,Sivert Guttorm Bakken,NOR,180.0,0,0.0551,0.0079,0.0099,0.0086,0.0264
Men's 10km Sprint,Biathlon,Felix Leitner,AUT,170.0,0,0.0491,0.0077,0.0074,0.0065,0.0216
Men's 10km Sprint,Biathlon,Dmytro Pidruchnyi,UKR,190.0,0,0.0614,0.0071,0.0087,0.0093,0.0251
Men's 10km Sprint,Biathlon,Michal Krcmar,CZE,160.0,0,0.0435,0.0068,0.0063,0.0063,0.0194
Men's 10km Sprint,Biathlon,Said Karimulla Khalili,AIN,150.0,0,0.0382,0.0046,0.0045,0.0054,0.0145
Men's 10km Sprint,Biathlon,Jesper Nelin,SWE,140.0,0,0.0333,0.0038,0.0059,0.0042,0.0139
Men's 12.5km Pursuit,Biathlon,Tommaso Giacomel,ITA,767.0,0,1.0,0.133,0.12,0.1178,0.3708
Men's 12.5km Pursuit,Biathlon,Eric Perrot,FRA,744.0,0,0.9409,0.1253,0.111,0.1097,0.346
Men's 12.5km Pursuit,Biathlon,Sebastian Samuelsson,SWE,640.0,0,0.6963,0.093,0.0914,0.0856,0.27
Men's 12.5km Pursuit,Biathlon,Johan-Olav Botn,NOR,589.0,0,0.5897,0.0792,0.0812,0.0816,0.242
Men's 12.5km Pursuit,Biathlon,Johannes Dale-Skjevdal,NOR,501.0,0,0.4267,0.0611,0.0575,0.0556,0.1742
Men's 12.5km Pursuit,Biathlon,Quentin Fillon Maillet,FRA,481.0,0,0.3933,0.0527,0.0521,0.0507,0.1555
Men's 12.5km Pursuit,Biathlon,Martin Ponsiluoma,SWE,476.0,0,0.3851,0.049,0.0536,0.0504,0.153
Men's 12.5km Pursuit,Biathlon,Emilien Jacquelin,FRA,445.0,0,0.3366,0.0436,0.0483,0.0466,0.1385
Men's 12.5km Pursuit,Biathlon,Vetle Sjastad Christiansen,NOR,429.0,0,0.3128,0.0421,0.0416,0.0452,0.1289
Men's 12.5km Pursuit,Biathlon,Sturla Holm Laegreid,NOR,404.0,0,0.2774,0.0338,0.0376,0.0401,0.1115
Men's 12.5km Pursuit,Biathlon,Philipp Nawrath,GER,385.0,0,0.252,0.0324,0.0386,0.0374,0.1084
Men's 12.5km Pursuit,Biathlon,Martin Uldal,NOR,359.0,0,0.2191,0.0296,0.0296,0.0301,0.0893
Men's 12.5km Pursuit,Biathlon,Campbell Wright,USA,339.0,0,0.1953,0.027,0.0297,0.032,0.0887
Men's 12.5km Pursuit,Biathlon,Isak Frey,NOR,306.0,0,0.1592,0.0238,0.0247,0.0187,0.0672
Men's 12.5km Pursuit,Biathlon,Lukas Hofer,ITA,295.0,0,0.1479,0.0203,0.0203,0.0213,0.0619
Men's 12.5km Pursuit,Biathlon,Fabien Claude,FRA,284.0,0,0.1371,0.0181,0.0185,0.02,0.0566
Men's 12.5km Pursuit,Biathlon,Tarjei Boe,NOR,260.0,0,0.1149,0.0173,0.0142,0.0156,0.0471
Men's 12.5km Pursuit,Biathlon,Philipp Horn,GER,274.0,0,0.1276,0.0168,0.0193,0.0173,0.0534
Men's 12.5km Pursuit,Biathlon,Johannes Thingnes Boe,NOR,250.0,0,0.1062,0.0149,0.0149,0.0145,0.0443
Men's 12.5km Pursuit,Biathlon,Jakov Fak,SLO,240.0,0,0.0979,0.0122,0.0146,0.0173,0.0441
Men's 12.5km Pursuit,Biathlon,Justus Strelow,GER,230.0,0,0.0899,0.0108,0.0116,0.0146,0.037
Men's 12.5km Pursuit,Biathlon,Simon Eder,AUT,220.0,0,0.0823,0.0101,0.012,0.0141,0.0362
Men's 12.5km Pursuit,Biathlon,Benedikt Doll,GER,200.0,0,0.068,0.0097,0.0077,0.0103,0.0277
Men's 12.5km Pursuit,Biathlon,Dmytro Pidruchnyi,UKR,190.0,0,0.0614,0.0085,0.0092,0.0093,0.027
Men's 12.5km Pursuit,Biathlon,Florent Claude,BEL,210.0,0,0.075,0.0081,0.0115,0.0117,0.0313
Men's 12.5km Pursuit,Biathlon,Sivert Guttorm Bakken,NOR,180.0,0,0.0551,0.0073,0.0069,0.0084,0.0226
Men's 12.5km Pursuit,Biathlon,Michal Krcmar,CZE,160.0,0,0.0435,0.0062,0.0055,0.0074,0.0191
Men's 12.5km Pursuit,Biathlon,Felix Leitner,AUT,170.0,0,0.0491,0.0056,0.0074,0.0079,0.0209
Men's 12.5km Pursuit,Biathlon,Said Karimulla Khalili,AIN,150.0,0,0.0382,0.0047,0.0049,0.0047,0.0143
Men's 12.5km Pursuit,Biathlon,Jesper Nelin,SWE,140.0,0,0.0333,0.0038,0.0046,0.0041,0.0125
Men's 1500m,Speed Skating,Jordan Stolz,USA,545.0,0,1.0,0.2988,0.2291,0.1611,0.689
Men's 1500m,Short Track Speed Skating,William Dandjinou,CAN,800.0,0,1.0,0.1765,0.1596,0.1438,0.4799
Men's 1500m,Short Track Speed Skating,Pietro Sighel,ITA,750.0,0,0.8789,0.1533,0.1368,0.137,0.4271
Men's 1500m,Speed Skating,Peder Kongshaug,NOR,390.0,0,0.5121,0.1477,0.1588,0.1483,0.4548
Men's 1500m,Short Track Speed Skating,Park Ji-won,KOR,700.0,0,0.7656,0.1341,0.1314,0.1226,0.3881
Men's 1500m,Short Track Speed Skating,Hwang Dae-heon,KOR,650.0,0,0.6602,0.1162,0.1188,0.1221,0.3571
Men's 1500m,Speed Skating,Zhongyan Ning,CHN,340.0,0,0.3892,0.1132,0.1144,0.1306,0.3582
Men's 1500m,Speed Skating,Sander Eitrem,NOR,331.0,0,0.3689,0.1068,0.1156,0.12,0.3424
Men's 1500m,Short Track Speed Skating,Sebastien Lepape,FRA,600.0,0,0.5625,0.0966,0.0999,0.1014,0.2979
Men's 1500m,Short Track Speed Skating,Liu Shaolin Sandor,HUN,550.0,0,0.4727,0.0826,0.0846,0.0901,0.2573
Men's 1500m,Speed Skating,Kjeld Nuis,NED,275.0,0,0.2546,0.0779,0.0808,0.0935,0.2522
Men's 1500m,Short Track Speed Skating,Ren Ziwei,CHN,500.0,0,0.3906,0.0632,0.0802,0.0787,0.2221
Men's 1500m,Short Track Speed Skating,Liu Shaoang,HUN,450.0,0,0.3164,0.0546,0.0597,0.0626,0.1769
Men's 1500m,Short Track Speed Skating,Steven Dubois,CAN,400.0,0,0.25,0.0461,0.0491,0.0551,0.1503
Men's 1500m,Speed Skating,Connor Howe,CAN,194.0,0,0.1267,0.0372,0.0433,0.0508,0.1313
Men's 1500m,Short Track Speed Skating,Pascal Dion,CAN,350.0,0,0.1914,0.0365,0.0361,0.0366,0.1092
Men's 1500m,Speed Skating,Tim Prins,NED,185.0,0,0.1152,0.0327,0.0365,0.0443,0.1135
Men's 1500m,Speed Skating,Min-Seok Kim,HUN,179.0,0,0.1079,0.0293,0.0386,0.0414,0.1093
Men's 1500m,Short Track Speed Skating,Luca Spechenhauser,ITA,300.0,0,0.1406,0.0232,0.0249,0.0314,0.0795
Men's 1500m,Speed Skating,Taiyo Nonomura,JPN,151.0,0,0.0768,0.0232,0.0246,0.0311,0.0789
Men's 1500m,Speed Skating,Seitaro Ichinohe,JPN,140.0,0,0.066,0.0203,0.0221,0.0291,0.0715
Men's 1500m,Speed Skating,Stefan Emele,GER,134.0,0,0.0605,0.0173,0.0219,0.0233,0.0625
Men's 1500m,Short Track Speed Skating,Oleh Handei,UKR,250.0,0,0.0977,0.0171,0.0189,0.0186,0.0546
Men's 1500m,Speed Skating,Wesly Dijs,NED,130.0,0,0.0569,0.0171,0.0205,0.0213,0.0589
Men's 1500m,Speed Skating,Daniele Di Stefano,ITA,127.0,0,0.0543,0.0162,0.0177,0.0195,0.0534
Men's 1500m,Speed Skating,Tijmen Snel,NED,119.0,0,0.0477,0.0137,0.0158,0.0203,0.0498
Men's 1500m,Speed Skating,Kazuya Yamada,JPN,122.0,0,0.0501,0.0136,0.018,0.0207,0.0523
Men's 1500m,Speed Skating,Bart Swings,BEL,85.0,0,0.0243,0.0083,0.0096,0.0101,0.028
Men's 1500m,Speed Skating,Joep Wennemars,NED,83.0,0,0.0232,0.0074,0.0075,0.0089,0.0238
Men's 1500m,Speed Skating,Ryota Kojima,JPN,82.0,0,0.0226,0.0063,0.0091,0.0079,0.0233
Men's 1500m,Speed Skating,Didrik Eng Strand,NOR,69.0,0,0.016,0.0043,0.0055,0.0056,0.0154
Men's 1500m,Speed Skating,David La Rue,CAN,58.0,0,0.0113,0.0037,0.0035,0.0052,0.0124
Men's 1500m,Speed Skating,Moritz Klein,GER,40.0,0,0.0054,0.0021,0.002,0.0029,0.007
Men's 1500m,Speed Skating,Kristian Gamme Ulekleiv,NOR,31.0,0,0.0032,0.0009,0.0011,0.0013,0.0033
Men's 1500m,Speed Skating,Vladimir Semirunniy,POL,24.0,0,0.0019,0.0004,0.001,0.0013,0.0027
Men's 1500m,Speed Skating,Hendrik Dombek,GER,24.0,0,0.0019,0.0003,0.0006,0.0004,0.0013
Men's 1500m,Speed Skating,Finn Sonnekalb,GER,13.0,0,0.0006,0.0003,0.0003,0.0002,0.0008
Men's 1500m,Speed Skating,Hanbin Liu,CHN,20.0,0,0.0013,0.0002,0.0006,0.0004,0.0012
Men's 1500m,Speed Skating,Motonaga Arito,JPN,14.0,0,0.0007,0.0002,0.0004,0.0003,0.0009
Men's 1500m,Speed Skating,Emery Lehman,USA,14.0,0,0.0007,0.0002,0.0004,0.0,0.0006
Men's 1500m,Speed Skating,Riku Tsuchiya,JPN,13.0,0,0.0006,0.0002,0.0002,0.0002,0.0006
Men's 1500m,Speed Skating,Alessio Trentini,ITA,12.0,0,0.0005,0.0002,0.0005,0.0,0.0007
Men's 15km,Cross-Country Skiing,Johannes Hoesflot Klaebo,NOR,2200.0,0,1.0,0.1395,0.1258,0.1038,0.3691
Men's 15km,Cross-Country Skiing,Edvin Anger,SWE,1731.0,0,0.6191,0.0829,0.0801,0.0845,0.2475
Men's 15km,Cross-Country Skiing,Erik Valnes,NOR,1530.0,0,0.4837,0.07,0.0643,0.0653,0.1996
Men's 15km,Cross-Country Skiing,Simen Hegstad Krueger,NOR,1431.0,0,0.4231,0.0627,0.0594,0.0598,0.1819
Men's 15km,Cross-Country Skiing,Federico Pellegrino,ITA,1510.0,0,0.4711,0.0615,0.0693,0.063,0.1938
Men's 15km,Cross-Country Skiing,Harald Oestberg Amundsen,NOR,1439.0,0,0.4278,0.0561,0.0583,0.0631,0.1775
Men's 15km,Cross-Country Skiing,Hugo Lapalus,FRA,1388.0,0,0.398,0.0543,0.0561,0.0502,0.1606
Men's 15km,Cross-Country Skiing,Andreas Fjorden Ree,NOR,1235.0,0,0.3151,0.0467,0.0426,0.0453,0.1346
Men's 15km,Cross-Country Skiing,Martin Loewstroem Nyenget,NOR,1154.0,0,0.2751,0.0377,0.0385,0.0416,0.1178
Men's 15km,Cross-Country Skiing,Mika Vermeulen,AUT,1082.0,0,0.2419,0.0333,0.0352,0.0378,0.1063
Men's 15km,Cross-Country Skiing,Ben Ogden,USA,1087.0,0,0.2441,0.0328,0.0367,0.0344,0.1039
Men's 15km,Cross-Country Skiing,Mathis Desloges,FRA,986.0,0,0.2009,0.0293,0.0296,0.0297,0.0886
Men's 15km,Cross-Country Skiing,Friedrich Moch,GER,1004.0,0,0.2083,0.0271,0.0282,0.033,0.0883
Men's 15km,Cross-Country Skiing,Gus Schumacher,USA,965.0,0,0.1924,0.0262,0.0275,0.0298,0.0835
Men's 15km,Cross-Country Skiing,Iivo Niskanen,FIN,924.0,0,0.1764,0.0245,0.0241,0.0246,0.0732
Men's 15km,Cross-Country Skiing,William Poromaa,SWE,958.0,0,0.1896,0.024,0.0298,0.0274,0.0812
Men's 15km,Cross-Country Skiing,Paal Golberg,NOR,870.0,0,0.1564,0.0215,0.0218,0.0224,0.0657
Men's 15km,Cross-Country Skiing,Iver Tildheim Andersen,NOR,782.0,0,0.1263,0.018,0.0178,0.0189,0.0547
Men's 15km,Cross-Country Skiing,Lucas Chanavat,FRA,731.0,0,0.1104,0.0168,0.0145,0.0152,0.0465
Men's 15km,Cross-Country Skiing,Andrew Musgrave,GBR,659.0,0,0.0897,0.0147,0.0145,0.0146,0.0438
Men's 15km,Cross-Country Skiing,Even Northug,NOR,699.0,0,0.101,0.0145,0.0174,0.0157,0.0476
Men's 15km,Cross-Country Skiing,Lauri Vuorinen,FIN,720.0,0,0.1071,0.0144,0.0154,0.0173,0.0471
Men's 15km,Cross-Country Skiing,Jan Thomas Jenssen,NOR,627.0,0,0.0812,0.0106,0.0114,0.0122,0.0342
Men's 15km,Cross-Country Skiing,Arsi Ruuskanen,FIN,576.0,0,0.0685,0.0091,0.0106,0.0104,0.0301
Men's 15km,Cross-Country Skiing,Valerio Grond,SUI,492.0,0,0.05,0.009,0.0071,0.0087,0.0248
Men's 15km,Cross-Country Skiing,Michal Novak,CZE,555.0,0,0.0636,0.0086,0.0084,0.0097,0.0267
Men's 15km,Cross-Country Skiing,Jules Chappaz,FRA,522.0,0,0.0563,0.008,0.0084,0.0087,0.0251
Men's 15km,Cross-Country Skiing,Richard Jouve,FRA,496.0,0,0.0508,0.007,0.0067,0.0059,0.0196
Men's 15km,Cross-Country Skiing,Thomas Maloney Westgaard,IRL,476.0,0,0.0468,0.007,0.0067,0.0066,0.0203
Men's 15km,Cross-Country Skiing,JC Schoonmaker,USA,480.0,0,0.0476,0.0064,0.0066,0.0095,0.0225
Men's 15km,Cross-Country Skiing,Jens Burman,SWE,350.0,0,0.0253,0.0043,0.0035,0.005,0.0128
Men's 15km,Cross-Country Skiing,Westgaard Thomas Maloney,IRL,398.0,0,0.0327,0.0041,0.0046,0.0058,0.0145
Men's 15km,Cross-Country Skiing,Calle Halfvarsson,SWE,344.0,0,0.0244,0.0041,0.0041,0.0038,0.012
Men's 15km,Cross-Country Skiing,Naoto Baba,JPN,307.0,0,0.0195,0.0031,0.0029,0.0035,0.0095
Men's 15km,Cross-Country Skiing,Altimiras Ireneu Esteve,AND,320.0,0,0.0212,0.003,0.0032,0.0031,0.0093
Men's 15km,Cross-Country Skiing,Truls Gisselman,SWE,333.0,0,0.0229,0.0028,0.003,0.0038,0.0096
Men's 15km,Cross-Country Skiing,Jules Lapierre,FRA,312.0,0,0.0201,0.0024,0.003,0.0031,0.0085
Men's 15km,Cross-Country Skiing,Davide Graz,ITA,307.0,0,0.0195,0.002,0.0029,0.0028,0.0077
Men's 15km Mass Start,Biathlon,Eric Perrot,FRA,744.0,0,0.9409,0.129,0.1143,0.1065,0.3498
Men's 15km Mass Start,Biathlon,Tommaso Giacomel,ITA,767.0,0,1.0,0.128,0.1226,0.1106,0.3612
Men's 15km Mass Start,Biathlon,Sebastian Samuelsson,SWE,640.0,0,0.6963,0.0984,0.0886,0.0864,0.2734
Men's 15km Mass Start,Biathlon,Johan-Olav Botn,NOR,589.0,0,0.5897,0.0795,0.0767,0.0771,0.2333
Men's 15km Mass Start,Biathlon,Johannes Dale-Skjevdal,NOR,501.0,0,0.4267,0.0569,0.057,0.059,0.1729
Men's 15km Mass Start,Biathlon,Martin Ponsiluoma,SWE,476.0,0,0.3851,0.0522,0.0551,0.0519,0.1592
Men's 15km Mass Start,Biathlon,Quentin Fillon Maillet,FRA,481.0,0,0.3933,0.0474,0.0508,0.0575,0.1557
Men's 15km Mass Start,Biathlon,Emilien Jacquelin,FRA,445.0,0,0.3366,0.0442,0.0444,0.0456,0.1342
Men's 15km Mass Start,Biathlon,Vetle Sjastad Christiansen,NOR,429.0,0,0.3128,0.0408,0.0436,0.043,0.1274
Men's 15km Mass Start,Biathlon,Sturla Holm Laegreid,NOR,404.0,0,0.2774,0.0396,0.041,0.0391,0.1197
Men's 15km Mass Start,Biathlon,Philipp Nawrath,GER,385.0,0,0.252,0.0303,0.0375,0.0372,0.105
Men's 15km Mass Start,Biathlon,Martin Uldal,NOR,359.0,0,0.2191,0.0272,0.0294,0.0316,0.0882
Men's 15km Mass Start,Biathlon,Campbell Wright,USA,339.0,0,0.1953,0.0268,0.0295,0.0289,0.0852
Men's 15km Mass Start,Biathlon,Isak Frey,NOR,306.0,0,0.1592,0.0227,0.0221,0.0225,0.0673
Men's 15km Mass Start,Biathlon,Lukas Hofer,ITA,295.0,0,0.1479,0.0207,0.0183,0.022,0.061
Men's 15km Mass Start,Biathlon,Fabien Claude,FRA,284.0,0,0.1371,0.0183,0.0196,0.0222,0.0601
Men's 15km Mass Start,Biathlon,Philipp Horn,GER,274.0,0,0.1276,0.0173,0.0185,0.0175,0.0533
Men's 15km Mass Start,Biathlon,Johannes Thingnes Boe,NOR,250.0,0,0.1062,0.0158,0.015,0.0145,0.0453
Men's 15km Mass Start,Biathlon,Tarjei Boe,NOR,260.0,0,0.1149,0.015,0.0152,0.0156,0.0458
Men's 15km Mass Start,Biathlon,Jakov Fak,SLO,240.0,0,0.0979,0.0131,0.0142,0.0149,0.0422
Men's 15km Mass Start,Biathlon,Justus Strelow,GER,230.0,0,0.0899,0.0123,0.0148,0.0136,0.0407
Men's 15km Mass Start,Biathlon,Florent Claude,BEL,210.0,0,0.075,0.0103,0.0124,0.0126,0.0353
